,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,会社の満足度,職務満足度,会社の将来像への期待,顧客視点意識,貢献意欲,勤続意思,効果的チーム,理念・ビジョンの認知,理念・ビジョンの理解,公平な評価,活躍のチャンス,内容が変化に富んでいるか,技能多様性,タスク完結性,タスク重要性,自由・決定権があるか（自律性）,フィードバックはあるか,賃金の納得性,福利厚生の充実,ハラスメント,不平不満,社会的手抜き,安全管理,衛生管理,５Ｓ,労務管理,その他気になる箇所,知識付与（自身が受ける側）,部下育成知識（自身が教える側）,部下育成ツール（自身が教える側）,店長のリーダーシップ（指示型）,店長のリーダーシップ（支援・参加型）,店長のリーダーシップ（課題達成志向型）,店長の承認行動,店長の育成マインド,意見具申,上司の承認行動,上司の育成マインド,上司への意見具申,同僚との関係（フォロー）,同僚との関係（指摘）,同僚との関係（仕事以外）,同僚（他店店長）との関係,同僚（他店店長）との関係（指摘）,同僚（他店店長）との関係（仕事以外）,従業員のタイプ,権限委譲,公式化の度合い,傾聴スキル,役割の明確化,十分な資源,効果的なリーダーシップ,信頼関係のある環境,業績評価と報酬システム,メンバーの能力,パーソナリティ,役割の割り当て,多様性,チームの規模,メンバーの柔軟性,メンバーの嗜好,共通の目的,具体的な目標,チームの自信感,コンフリクトの程度
26-Feb,H01,外食事業本部,D03,店舗運営3部,S01,課1,T04,係4,A04,東北,IND01,外食,ST01,居酒屋,200008,山本彩花,1009,1009店,店長,正社員,200008,田中裕二,2005,1979/5/23,40代,25,0,1,1,MANAGER,R200008,,,3,3,3,3,3,3,4,2,4,5,2,2,3,3,5,2,5,3,2,4,3,3,3,3,4,3,1,4,4,5,2,5,2,5,4,5,5,5,4,5,5,5,5,4,3,1,3,3,5,4,3,4,4,3,4,5,5,5,3,5,5,3,2,4,3
26-Feb,H01,外食事業本部,D01,店舗運営1部,S02,課2,T05,係5,A05,九州,IND01,外食,ST01,居酒屋,200009,伊藤優子,1010,1010店,店長,正社員,200009,後藤隆,2011,1981/1/26,40代,6,0,1,1,MANAGER,R200009,,,5,5,5,5,5,5,5,5,5,5,4,5,4,4,5,5,5,5,5,5,4,5,4,5,3,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
26-Feb,H01,外食事業本部,D02,店舗運営2部,S03,課3,T01,係1,A01,関東,IND01,外食,ST01,居酒屋,200010,西村美咲,1011,1011店,店長,正社員,200010,井上楓,2022,2004/11/5,20代,0,0,1,1,MANAGER,R200010,,,5,5,5,5,5,5,4,5,5,4,5,5,5,4,4,5,5,3,4,5,2,2,5,4,4,5,5,5,4,4,4,4,4,5,5,4,5,4,4,4,3,4,5,3,5,5,4,5,5,5,5,4,4,4,3,3,4,3,3,3,3,4,4,3,2
26-Feb,H01,外食事業本部,D03,店舗運営3部,S04,課4,T02,係2,A02,関西,IND01,外食,ST01,居酒屋,200011,松本結衣,1012,1012店,店長,正社員,200011,伊藤剛,2013,1981/10/14,40代,16,0,1,1,MANAGER,R200011,,,4,4,4,5,5,4,5,5,5,4,5,4,4,5,5,4,4,2,2,4,2,5,4,5,4,4,2,2,5,3,2,4,3,3,4,5,4,5,4,4,2,4,4,3,4,2,5,4,4,5,4,4,3,4,2,3,4,3,4,5,2,4,4,4,3
26-Feb,H01,外食事業本部,D01,店舗運営1部,S01,課1,T03,係3,A03,中部,IND01,外食,ST01,居酒屋,200012,佐藤優子,1013,1013店,店長,正社員,200012,石川奈々,2012,1992/8/14,30代,25,0,1,1,MANAGER,R200012,,,4,4,3,4,4,4,3,5,4,3,4,5,5,4,3,4,4,3,3,5,5,3,1,5,3,4,2,4,3,3,4,4,3,4,3,5,4,4,5,4,4,5,2,2,2,5,3,3,5,4,3,2,4,1,3,3,3,3,3,3,3,3,3,3,4
26-Feb,H01,外食事業本部,D02,店舗運営2部,S02,課2,T04,係4,A04,東北,IND01,外食,ST01,居酒屋,200013,後藤葵,1014,1014店,店長,正社員,200013,佐藤杏,2006,1988/6/11,30代,21,0,1,1,MANAGER,R200013,,,3,2,4,4,3,3,2,3,4,5,2,3,3,5,4,4,3,5,3,5,2,3,2,4,4,3,3,2,3,2,2,4,3,3,4,4,3,3,3,4,3,3,4,4,5,5,5,3,4,3,3,3,3,2,3,3,3,3,2,2,3,3,2,3,2
26-Feb,H01,外食事業本部,D03,店舗運営3部,S03,課3,T05,係5,A05,九州,IND01,外食,ST01,居酒屋,200014,渡辺誠,1015,1015店,店長,正社員,200014,中村崇,2023,1980/10/20,40代,0,0,1,1,MANAGER,R200014,,,3,3,4,3,3,3,3,4,4,5,5,3,4,3,4,3,5,3,3,4,3,5,5,4,3,5,4,3,3,3,3,3,2,2,2,3,5,4,3,4,3,5,3,3,3,2,3,3,3,2,3,5,4,3,2,3,3,3,3,3,2,3,3,3,3
26-Feb,H01,外食事業本部,D01,店舗運営1部,S04,課4,T01,係1,A01,関東,IND01,外食,ST01,居酒屋,200015,後藤健二,1016,1016店,店長,正社員,200015,青木陽介,2018,1990/4/13,30代,18,0,1,1,MANAGER,R200015,,,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,4,5,5,5,5,5,5,5,5,5,1,5,1,5,5,5,5,5,5,5,5,5,2,5,5,5,5,3,2,1,2,4,4,5,4,1,1,4,1,1,2,4
26-Feb,H01,外食事業本部,D02,店舗運営2部,S01,課1,T02,係2,A02,関西,IND01,外食,ST01,居酒屋,200016,後藤健二,1017,1017店,店長,正社員,200016,太田達也,2014,1993/9/4,30代,11,0,1,1,MANAGER,R200016,,,5,4,4,5,4,5,4,5,4,4,4,3,4,4,4,2,4,5,5,2,2,2,2,2,4,4,3,4,4,4,3,3,5,4,4,4,4,3,5,4,3,4,4,4,3,4,3,3,3,5,4,4,4,3,3,3,3,3,4,3,4,4,3,3,3
26-Feb,H01,外食事業本部,D03,店舗運営3部,S02,課2,T03,係3,A03,中部,IND01,外食,ST01,居酒屋,200017,石井美咲,1018,1018店,店長,正社員,200017,藤井拓海,2012,1990/8/23,30代,4,0,1,1,MANAGER,R200017,,,5,3,5,4,5,5,3,4,4,5,5,5,5,4,5,4,4,3,4,5,4,4,5,4,4,4,4,4,4,3,4,5,4,4,3,5,5,4,5,4,3,3,4,3,4,2,5,4,4,5,3,5,4,3,4,4,4,4,3,3,3,3,3,3,3
26-Feb,H01,外食事業本部,D01,店舗運営1部,S03,課3,T04,係4,A04,東北,IND01,外食,ST01,居酒屋,200018,佐藤奈々,1019,1019店,店長,正社員,200018,佐藤康介,2006,1982/5/16,40代,0,0,1,1,MANAGER,R200018,,,3,3,3,5,3,3,3,3,3,4,4,2,3,2,3,2,4,5,4,4,3,3,4,3,3,4,1,4,3,3,2,4,2,2,2,5,4,4,5,5,5,4,5,5,3,5,4,4,4,3,2,5,5,2,3,5,5,4,5,5,5,2,2,3,2
26-Feb,H01,外食事業本部,D02,店舗運営2部,S04,課4,T05,係5,A05,九州,IND01,外食,ST01,居酒屋,200019,佐藤健二,1020,1020店,店長,正社員,200019,森結衣,2011,1986/6/18,30代,10,0,1,1,MANAGER,R200019,,,3,3,4,2,4,3,2,4,4,3,3,4,4,5,4,5,2,3,3,2,2,1,2,3,3,3,3,2,3,2,2,3,3,3,3,3,2,2,5,3,3,5,3,3,2,1,5,3,3,5,2,4,2,2,3,3,3,3,3,3,3,2,2,2,2
26-Feb,H01,外食事業本部,D03,店舗運営3部,S01,課1,T01,係1,A01,関東,IND01,外食,ST01,居酒屋,200000,後藤真一,1001,1001店,店長,正社員,200020,渡辺剛,2009,1974/3/24,50代,16,0,1,1,MANAGER,R200020,,,4,4,5,4,5,5,5,5,4,4,5,3,4,3,5,2,5,4,5,3,2,3,5,5,4,5,5,5,3,4,4,4,4,4,4,5,5,5,5,5,4,5,5,5,4,2,4,3,4,5,5,2,4,3,4,4,5,4,5,1,4,2,3,4,3
26-Feb,H01,外食事業本部,D01,店舗運営1部,S02,課2,T02,係2,A02,関西,IND01,外食,ST01,居酒屋,200001,石井智子,1002,1002店,店長,正社員,200021,前田七海,2019,1997/6/19,20代,1,0,1,1,MANAGER,R200021,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
26-Feb,H01,外食事業本部,D02,店舗運営2部,S03,課3,T03,係3,A03,中部,IND01,外食,ST01,居酒屋,200002,林さくら,1003,1003店,店長,正社員,200022,井上康介,2021,1974/2/23,50代,24,0,1,1,MANAGER,R200022,,,5,5,5,5,5,5,3,5,4,2,4,3,5,4,3,3,3,3,3,4,3,4,5,5,4,5,3,5,4,4,4,4,4,4,4,4,4,4,3,3,4,3,4,3,5,4,5,5,3,3,3,5,3,5,3,3,3,5,4,4,4,3,4,5,3
26-Feb,H01,外食事業本部,D03,店舗運営3部,S04,課4,T04,係4,A04,東北,IND01,外食,ST01,居酒屋,200003,橋本陽菜,1004,1004店,店長,正社員,200023,高橋奈々,2013,1970/11/9,50代,11,0,1,1,MANAGER,R200023,,,4,4,4,5,4,4,4,5,4,4,4,4,5,3,4,3,2,2,3,3,2,2,2,5,3,4,2,4,4,3,3,5,3,3,3,5,2,2,1,5,5,5,5,4,4,5,4,4,4,3,4,3,4,4,4,4,4,4,4,3,3,2,3,4,3
26-Feb,H01,外食事業本部,D01,店舗運営1部,S01,課1,T05,係5,A05,九州,IND01,外食,ST01,居酒屋,200004,西村剛,1005,1005店,店長,正社員,200024,遠藤英樹,2025,1983/10/16,40代,25,0,1,1,MANAGER,R200024,,,5,5,4,3,5,5,5,5,4,5,5,3,4,3,3,3,5,5,3,3,2,3,4,3,3,5,5,4,4,5,5,5,3,3,4,5,5,5,5,5,5,5,5,5,5,1,4,3,4,4,5,4,5,3,4,5,5,3,5,4,4,5,5,4,3
26-Feb,H01,外食事業本部,D02,店舗運営2部,S02,課2,T01,係1,A01,関東,IND01,外食,ST01,居酒屋,200005,藤田真由美,1006,1006店,店長,正社員,200025,村上美穂,2014,1992/12/10,30代,9,0,1,1,MANAGER,R200025,,,5,5,4,5,5,5,4,5,5,4,4,5,5,4,4,4,5,4,4,5,3,5,5,5,4,4,4,5,4,4,3,5,4,4,4,5,5,5,5,5,4,4,4,4,4,4,5,5,5,5,5,4,4,5,4,4,4,5,5,5,5,4,4,5,4
26-Feb,H01,外食事業本部,D03,店舗運営3部,S03,課3,T02,係2,A02,関西,IND01,外食,ST01,居酒屋,200006,石川康介,1007,1007店,店長,正社員,200026,青木優子,2006,1989/1/23,30代,22,0,1,1,MANAGER,R200026,,,4,4,3,5,4,4,3,5,4,4,4,4,3,4,4,4,5,5,4,5,3,3,4,3,3,4,3,3,5,3,3,4,3,4,3,5,5,3,5,3,3,4,3,3,3,3,4,4,5,5,3,3,3,3,3,3,3,3,2,3,5,3,3,3,3
26-Feb,H01,外食事業本部,D01,店舗運営1部,S04,課4,T03,係3,A03,中部,IND01,外食,ST01,居酒屋,200007,石井凛,1008,1008店,店長,正社員,200027,鈴木悠真,2010,2002/8/2,20代,1,0,1,1,MANAGER,R200027,,,5,3,5,5,5,5,3,5,5,3,3,3,3,5,5,3,3,3,3,3,2,3,4,5,2,3,1,3,3,3,3,3,3,1,3,1,3,3,3,3,3,3,5,5,5,1,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,2,3
26-Feb,H01,外食事業本部,D02,店舗運営2部,S01,課1,T04,係4,A04,東北,IND01,外食,ST01,居酒屋,200008,山本彩花,1009,1009店,店長,正社員,200028,橋本剛,2011,1973/12/27,50代,5,0,1,1,MANAGER,R200028,,,4,4,5,4,5,4,4,5,4,4,5,4,4,3,5,5,5,4,5,3,2,3,3,3,3,5,3,4,4,4,3,5,3,4,5,4,5,4,5,4,4,4,4,4,3,5,5,5,5,5,5,5,3,3,2,3,4,4,5,5,4,4,4,5,4
26-Feb,H01,外食事業本部,D03,店舗運営3部,S02,課2,T05,係5,A05,九州,IND01,外食,ST01,居酒屋,200009,伊藤優子,1010,1010店,店長,正社員,200029,井上遥,2022,1986/7/18,30代,16,0,1,1,MANAGER,R200029,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,2,4,4,5,5,4,3,5,5,5,5,5,4,4,4,5,4,4,4,5,4,4,4,4,4,5,5,5,5,5,5,4,4,5,5,3,4,5,5,5,5,5,5,4,5
26-Feb,H01,外食事業本部,D01,店舗運営1部,S03,課3,T01,係1,A01,関東,IND01,外食,ST01,居酒屋,200010,西村美咲,1011,1011店,店長,正社員,200030,橋本拓海,2012,1993/11/3,30代,24,0,1,1,MANAGER,R200030,,,4,4,5,5,4,4,4,5,5,4,4,3,4,5,5,4,3,4,3,4,2,4,1,5,3,4,1,2,4,4,4,4,4,4,4,3,4,3,5,4,2,4,4,4,3,3,5,5,5,5,3,2,4,3,3,3,4,3,5,5,4,4,3,3,2
26-Feb,H01,外食事業本部,D02,店舗運営2部,S04,課4,T02,係2,A02,関西,IND01,外食,ST01,居酒屋,200011,松本結衣,1012,1012店,店長,正社員,200031,小川達也,2014,1976/6/6,40代,19,0,1,1,MANAGER,R200031,,,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,4,4,5,3,3,5,5,4,5,5,5,4,4,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,4,5,5,4,4,5,4,4,5,5,4,3,4,4,5,4,5
26-Feb,H01,外食事業本部,D03,店舗運営3部,S01,課1,T03,係3,A03,中部,IND01,外食,ST01,居酒屋,200012,佐藤優子,1013,1013店,店長,正社員,200032,村上翔太,2025,1990/3/11,30代,0,0,1,1,MANAGER,R200032,,,3,3,3,3,3,3,3,3,3,5,4,3,3,3,3,3,5,5,4,1,3,2,3,5,3,5,2,5,3,3,4,5,2,3,3,5,3,5,4,2,2,2,3,3,2,3,5,4,4,5,3,5,2,2,3,3,5,4,2,5,3,3,3,2,3
26-Feb,H01,外食事業本部,D01,店舗運営1部,S02,課2,T04,係4,A04,東北,IND01,外食,ST01,居酒屋,200013,後藤葵,1014,1014店,店長,正社員,200033,林杏,2012,1988/5/5,30代,15,0,1,1,MANAGER,R200033,,,3,3,5,5,5,4,4,5,4,3,5,4,3,5,5,4,4,2,2,3,3,4,3,5,4,3,2,3,4,3,4,3,3,3,3,3,3,3,4,3,3,3,3,3,2,3,4,3,3,3,3,5,3,3,3,3,3,4,4,4,4,4,4,4,4
26-Feb,H01,外食事業本部,D02,店舗運営2部,S03,課3,T05,係5,A05,九州,IND01,外食,ST01,居酒屋,200014,渡辺誠,1015,1015店,一般社員,正社員,200034,清水英樹,2013,1986/10/22,30代,10,0,0,1,STAFF,R200034,,,5,5,5,5,5,5,3,5,5,5,5,5,4,5,5,5,5,5,5,3,3,3,3,3,4,5,3,5,4,3,4,5,5,5,5,5,5,5,5,5,5,5,,,,1,5,5,3,5,3,5,4,,5,4,5,5,4,3,5,5,5,4,5
26-Feb,H01,外食事業本部,D03,店舗運営3部,S04,課4,T01,係1,A01,関東,IND01,外食,ST01,居酒屋,200015,後藤健二,1016,1016店,一般社員,正社員,200035,西村剛,2011,1993/4/8,30代,16,0,0,1,STAFF,R200035,,,4,3,4,4,4,3,2,4,4,4,3,2,3,5,4,5,4,4,3,4,4,4,4,4,3,3,2,4,3,2,4,5,4,4,4,4,4,4,4,4,2,4,,,,4,4,3,3,4,4,4,3,,3,3,3,2,5,4,2,2,2,2,2
26-Feb,H01,外食事業本部,D01,店舗運営1部,S01,課1,T02,係2,A02,関西,IND01,外食,ST01,居酒屋,200016,後藤健二,1017,1017店,一般社員,正社員,200036,小林智子,2008,1980/4/14,40代,22,0,0,1,STAFF,R200036,,,5,5,3,3,3,4,4,4,4,4,5,4,5,5,5,5,4,3,3,3,5,3,3,5,5,5,3,5,4,3,3,5,5,4,3,3,4,3,3,3,4,5,,,,4,3,4,3,3,4,3,3,,4,3,3,5,4,4,3,3,4,4,4
26-Feb,H01,外食事業本部,D02,店舗運営2部,S02,課2,T03,係3,A03,中部,IND01,外食,ST01,居酒屋,200017,石井美咲,1018,1018店,一般社員,正社員,200037,鈴木紗月,2021,1999/5/14,20代,15,0,0,1,STAFF,R200037,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5
26-Feb,H01,外食事業本部,D03,店舗運営3部,S03,課3,T04,係4,A04,東北,IND01,外食,ST01,居酒屋,200018,佐藤奈々,1019,1019店,一般社員,正社員,200038,吉田咲良,2019,1993/3/22,30代,14,0,0,1,STAFF,R200038,,,3,2,4,4,5,3,3,2,5,4,2,3,4,4,4,3,5,3,3,5,3,4,3,4,2,1,5,2,4,4,4,3,3,4,3,3,4,3,3,5,5,3,,,,4,5,4,5,2,4,4,2,,5,3,3,4,3,2,3,4,4,5,5
26-Feb,H01,外食事業本部,D01,店舗運営1部,S04,課4,T05,係5,A05,九州,IND01,外食,ST01,居酒屋,200019,佐藤健二,1020,1020店,一般社員,正社員,200039,福田健二,2006,1994/5/18,30代,18,0,0,1,STAFF,R200039,,,3,3,3,3,3,3,3,3,3,3,3,1,1,4,3,5,3,2,4,4,4,4,4,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,5,,,,2,3,3,3,3,4,3,4,,3,3,3,3,2,4,5,3,3,3,3
